label,original_label,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_width,bbox_height,bbox_depth,min_intensity,max_intensity,sum_intensity,area,mean_intensity,sum_intensity_times_x,mass_center_x,sum_intensity_times_y,mass_center_y,sum_intensity_times_z,mass_center_z,sum_x,centroid_x,sum_y,centroid_y,sum_z,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,annotated_class,key
1,1,15,196,0,42,232,0,28,37,1,7468,17137,8714545,766,11376.69,251251090,28.831234,1858509600,213.26524,0,0,21774,28.425589,163432,213.35771,0,0,8308.524,10.846638,8314.082,10.853893,1777.9183,19.823206,19.621275,1.82759,1.8077638,2,1
2,2,207,210,0,229,250,0,23,41,1,7440,18940,9240688,740,12487.417,2017052800,218.27951,2128823900,230.37505,0,0,161202,217.84055,169766,229.41351,0,0,8182.178,11.056998,8208.815,11.092994,2179.022,21.002487,21.069946,1.8994746,1.8993922,2,2
3,3,48,246,0,79,272,0,32,27,1,8117,17787,7131398,619,11520.836,458578560,64.30416,1846961700,258.9901,0,0,39425,63.691433,160276,258.92728,0,0,5973.765,9.65067,5980.6294,9.661759,1810.2437,17.152498,17.739428,1.7773376,1.8360453,2,3
4,4,62,281,0,93,315,0,32,35,1,10687,16840,10569744,821,12874.23,822488260,77.81534,3146431500,297.68283,0,0,64108,78.08526,244293,297.55542,0,0,8890.863,10.829309,8893.199,10.832154,1145.5917,17.916548,17.732489,1.6544497,1.6370233,2,4
5,5,99,330,0,125,350,0,27,21,1,8863,21320,5162957,411,12561.939,577440700,111.84302,1750771200,339.10242,0,0,46172,112.34063,139612,339.68857,0,0,3226.825,7.8511558,3237.5173,7.877171,2455.7312,13.701239,13.669312,1.7451237,1.7353072,2,5
6,6,1471,884,0,1507,913,0,37,30,1,8385,19473,10740732,829,12956.251,15997955000,1489.466,9655354000,898.9475,0,0,1234632,1489.3027,744749,898.37036,0,0,9119.859,11.001037,9130.433,11.013791,2499.8584,18.631235,18.883163,1.6935891,1.7145017,2,6
7,7,1494,1004,0,1530,1027,0,37,24,1,10238,17956,8525396,666,12800.8955,12888404000,1511.7661,8652589000,1014.9194,0,0,1006846,1511.7808,676080,1015.13513,0,0,6815.6562,10.233718,6816.253,10.234614,1166.0817,20.261456,20.369892,1.9798723,1.9902941,2,7
8,8,1068,1280,0,1134,1319,0,67,40,1,5692,18534,18767750,2061,9106.138,20677833000,1101.7748,24397580000,1299.9736,0,0,2269709,1101.2659,2679646,1300.1678,0,0,37616.395,18.251526,37623.035,18.254747,1781.3767,33.48587,34.01393,1.8346888,1.8632923,2,8
9,9,600,1485,0,652,1557,0,53,73,1,4790,16121,19438990,2525,7698.61,12153010000,625.1873,29583380000,1521.8579,0,0,1578118,624.9972,3846730,1523.4574,0,0,51222.824,20.286266,51407.32,20.359335,1769.4801,38.781433,37.170788,1.9117087,1.8257369,2,9
1,1,1366,177,0,1432,236,0,67,60,1,3810,6721,16298454,3133,5202.188,22813362000,1399.7256,3372298800,206.90912,0,0,4384931,1399.595,649065,207.17046,0,0,66163.67,21.118313,66167.586,21.119562,727.9839,33.86044,33.95138,1.6033686,1.6075798,2,3
2,2,641,439,0,706,503,0,66,65,1,5133,9474,24342232,3222,7555.0063,16383657000,673.0548,11498379000,472.36337,0,0,2167407,672.6899,1522919,472.6626,0,0,68913.21,21.388332,68925.42,21.392122,992.9465,33.864223,33.60887,1.5833036,1.5710864,2,6
3,3,1194,507,0,1243,565,0,50,59,1,5797,8662,16102524,2177,7396.6577,19602383000,1217.3485,8634076000,536.194,0,0,2651081,1217.7681,1167786,536.41986,0,0,38636.883,17.747765,38646.31,17.752094,616.0075,29.47294,29.29836,1.6606565,1.6504172,2,9
4,4,691,628,0,742,685,0,52,58,1,4406,7658,14488439,2286,6337.9,10378627000,716.33856,9501835000,655.8219,0,0,1636923,716.06433,1497813,655.2113,0,0,41626.9,18.209492,41648.523,18.218952,756.23883,32.051083,32.429333,1.7601305,1.7799779,2,12
5,5,980,1372,0,1028,1413,0,49,42,1,5502,8247,11308176,1633,6924.786,11345251000,1003.2786,15742901000,1392.1698,0,0,1638744,1003.51746,2272996,1391.9142,0,0,24983.285,15.29901,24986.67,15.301084,578.02716,25.489624,25.809464,1.6660963,1.6867735,2,15
1,1,741,882,0,761,901,0,21,20,1,6145,10197,1553313,206,7540.3545,1169528200,752.925,1386641800,892.6995,0,0,155164,753.2233,183923,892.8301,0,0,1189.7362,5.7754188,1193.5369,5.7938685,697.38745,16.330961,16.021397,2.827667,2.765233,2,5
1,1,997,318,0,1039,367,0,43,50,1,9089,22566,20386272,1462,13944.099,20726120000,1016.6704,6992094700,342.98053,0,0,1484664,1015.5021,501827,343.24695,0,0,21785.191,14.900952,21857.037,14.950094,2439.5728,26.975874,27.16403,1.8103456,1.8169805,2,6
2,2,1039,324,0,1078,367,0,40,44,1,9593,20640,14482879,1049,13806.367,15331925000,1058.6241,5032640500,347.48895,0,0,1111694,1059.7655,364645,347.61203,0,0,13793.045,13.148756,13822.918,13.177234,2307.151,27.06806,27.538992,2.0586023,2.0898917,2,12
