label,area,centroid-0,centroid-1,eccentricity,mean_intensity,max_intensity,min_intensity,annotated_class,key
[1],[1970],[100.4284264],[99.51878173],[0.71323957],[146.1928934],[255.],[0.],1,[1]
[1 2 3],[36 25 40],[ 81.38888889 105.92       115.65      ],[ 93.13888889 116.04        90.5       ],[0.54390564 0.46172276 0.73595797],[183.38888889 180.28       172.475     ],[207. 207. 201.],[162. 160. 149.],1,[1 2 3]
[1],[2739],[99.35012778],[99.54216867],[0.84876939],[135.88608981],[255.],[56.],1,[1]
[1],[1841],[99.10809343],[100.98804997],[0.57713667],[140.56871266],[250.],[58.],1,[1]
[1],[946],[99.67336152],[101.79386892],[0.84064028],[171.91649049],[252.],[0.],1,[1]
[1 2],[18 82],[ 84.27777778 108.68292683],[112.38888889 100.32926829],[0.72265914 0.84355331],[158.05555556 192.64634146],[170. 230.],[150. 163.],1,[1 2]
[1 2 3],[26 15 17],[77.5        87.86666667 97.58823529],[107.          86.86666667  87.11764706],[0.54405882 0.76842449 0.62594323],[153.07692308 131.2        144.11764706],[183. 154. 166.],[133. 114. 127.],1,[1 2 3]
[1],[1117],[100.3133393],[100.11638317],[0.77836276],[174.42703671],[255.],[98.],1,[1]
[1],[2341],[101.16830414],[101.18240068],[0.74149341],[136.10679197],[255.],[0.],1,[1]
[1],[3854],[100.24753503],[98.6831863],[0.75106647],[146.51219512],[251.],[62.],1,[1]
[1],[1480],[98.58310811],[100.39864865],[0.64023225],[162.1222973],[255.],[72.],1,[1]
[1],[2138],[100.32834425],[99.52853134],[0.73525627],[159.06548176],[255.],[0.],1,[1]
[1],[2793],[98.47690655],[98.6330111],[0.8816525],[143.76763337],[255.],[59.],1,[1]
[1],[2077],[101.64949446],[100.25854598],[0.79975706],[150.26432354],[255.],[68.],1,[1]
[1],[2982],[99.86016097],[101.02112676],[0.81041716],[137.259222],[255.],[69.],1,[1]
[1],[1636],[100.58679707],[101.48227384],[0.51098475],[162.63508557],[255.],[0.],1,[1]
[1],[3107],[100.64370776],[99.86385581],[0.74414505],[129.86095912],[255.],[48.],1,[1]
[1],[1594],[100.56649937],[99.51442911],[0.57526031],[152.70953576],[255.],[0.],1,[1]
[1],[1144],[99.56031469],[99.91346154],[0.6583393],[153.20104895],[255.],[15.],1,[1]
[1],[2040],[99.66666667],[100.92058824],[0.60264197],[175.7377451],[255.],[0.],1,[1]
[1],[1601],[101.04122423],[101.48657089],[0.7589086],[130.79762648],[253.],[64.],1,[1]
[1],[1618],[101.58961681],[99.5723115],[0.75464979],[164.98393078],[255.],[0.],1,[1]
[1],[34],[103.5],[118.],[0.62774337],[149.79411765],[177.],[125.],1,[1]
[1],[1456],[100.37362637],[100.16346154],[0.8239207],[161.3543956],[255.],[15.],1,[1]
[1 2 3 4],[18 27 17 23],[ 85.27777778  97.62962963 109.58823529 118.        ],[122.88888889 126.         119.11764706  88.82608696],[0.47692249 0.63857393 0.62594323 0.12869789],[162.72222222 146.51851852 152.41176471 184.52173913],[178. 153. 165. 205.],[151. 139. 143. 166.],1,[1 2 3 4]
[1],[1744],[99.67201835],[99.63646789],[0.62999034],[140.52694954],[253.],[52.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1086],[99.55064457],[98.58195212],[0.63134038],[159.67679558],[252.],[57.],1,[1]
[1],[1313],[105.21325209],[107.44021325],[0.47884942],[145.96420411],[249.],[82.],1,[1]
[1],[1023],[100.51319648],[100.20430108],[0.47062388],[150.83479961],[255.],[0.],1,[1]
[1],[991],[101.55903128],[100.26639758],[0.75343739],[167.94248234],[254.],[6.],1,[1]
[1],[1345],[99.19628253],[100.12788104],[0.84801617],[150.93011152],[253.],[63.],1,[1]
[1],[2560],[102.12382813],[103.39804688],[0.89075958],[148.14023438],[253.],[2.],1,[1]
[1],[2957],[100.19952655],[98.51268177],[0.56208068],[134.43287115],[255.],[15.],1,[1]
[1],[1931],[100.25945106],[99.99119627],[0.50697192],[162.33868462],[249.],[78.],1,[1]
[ 1  2  3  4  5  6  7  8  9 10 11],[39 24 19 34 20 43 24 16 17 34 37],"[ 67.46153846  89.79166667  98.42105263 108.91176471 111.5
 117.25581395 121.29166667 126.5        130.11764706 132.23529412
 141.45945946]","[107.43589744  83.125       99.63157895 100.14705882 129.5
  86.46511628 107.41666667  69.         113.58823529 122.05882353
 102.21621622]","[0.72171728 0.43920646 0.85361827 0.77041752 0.73029674 0.75571476
 0.71531276 0.57735027 0.62594323 0.69984228 0.58936684]","[151.33333333 173.125      168.15789474 184.58823529 141.25
 183.65116279 165.95833333 147.625      178.88235294 157.23529412
 181.24324324]",[172. 204. 182. 203. 155. 207. 187. 160. 195. 172. 204.],[131. 145. 149. 162. 129. 159. 147. 131. 164. 135. 152.],1,[ 1  2  3  4  5  6  7  8  9 10 11]
[1],[2339],[101.04446345],[101.35399743],[0.86119641],[147.76699444],[255.],[70.],1,[1]
[1 2 3 4],[20 24 25 22],[ 76.05       108.70833333 108.04       118.90909091],[107.1         94.95833333 104.4        122.09090909],[0.39295262 0.7081986  0.49847116 0.4282594 ],[212.4        215.45833333 214.12       204.77272727],[251. 255. 247. 233.],[184. 184. 186. 180.],1,[1 2 3 4]
[1],[1351],[100.73871207],[99.90895633],[0.55889519],[183.63212435],[255.],[0.],1,[1]
[1],[3188],[99.08500627],[100.36104141],[0.88557795],[114.38582183],[255.],[2.],1,[1]
[1],[1132],[100.82067138],[99.18992933],[0.8263639],[186.2164311],[255.],[0.],1,[1]
[1],[1756],[99.22949886],[101.06036446],[0.68218074],[138.27334852],[252.],[0.],1,[1]
[1],[295],[100.73559322],[114.62372881],[0.24852602],[155.70847458],[255.],[121.],1,[1]
[1],[1325],[99.82113208],[99.81283019],[0.84357254],[140.99773585],[255.],[9.],1,[1]
[1],[1739],[100.26049454],[100.82116159],[0.59462596],[161.41288097],[255.],[0.],1,[1]
[],[],[],[],[],[],[],[],1,[]
[1],[1748],[101.402746],[99.75114416],[0.60135292],[163.30434783],[250.],[2.],1,[1]
[1],[1158],[99.24352332],[99.63816926],[0.60402558],[163.81692573],[255.],[73.],1,[1]
[1 2 3 4 5],[55 31 45 20 29],[ 78.78181818  82.          83.44444444  99.25       112.72413793],[104.63636364 123.          86.15555556 101.75       119.68965517],[0.83210429 0.69337525 0.6091273  0.27524094 0.74599566],[199.72727273 212.29032258 207.37777778 211.05       211.62068966],[221. 251. 232. 230. 242.],[173. 186. 179. 194. 175.],1,[1 2 3 4 5]
[1],[1366],[101.62811127],[100.46046852],[0.37482657],[153.63396779],[253.],[0.],1,[1]
[1 2 3],[15 22 24],[ 81.          94.90909091 104.04166667],[ 97.4         81.09090909 107.875     ],[0.65828059 0.4282594  0.62882131],[150.53333333 161.18181818 162.20833333],[176. 182. 190.],[118. 138. 139.],1,[1 2 3]
[1],[17],[94.88235294],[77.41176471],[0.62594323],[131.35294118],[151.],[120.],1,[1]
[1 2],[23 20],[ 91.60869565 109.25      ],[86.95652174 87.95      ],[0.34693096 0.63816827],[156.  155.7],[188. 182.],[133. 133.],1,[1 2]
[1],[1295],[100.41930502],[101.14285714],[0.87449631],[168.6],[255.],[3.],1,[1]
